date,region,population,child_mort,marriages,work_age_mort
2005-01-01,Российская Федерация,143236,143236.0,567,827.8
2005-01-01,Центральный  федеральный округ,38109,38109.0,576,793.7
2005-01-01,Белгородская область,1512,1512.0,503,618.6
2005-01-01,Брянская область,1327,1327.0,575,1021.3
2005-01-01,Владимирская область,1486,1486.0,570,1040.3
2005-01-01,Воронежская область,2361,2361.0,629,787.5
2005-01-01,Ивановская область,1102,1102.0,646,1168.1
2005-01-01,Калужская область,1023,1023.0,595,956.6
2005-01-01,Костромская область,700,700.0,497,1062.1
2005-01-01,Курская область,1178,1178.0,616,877.2
2005-01-01,Липецкая область,1194,1194.0,583,812.7
2005-01-01,Московская область,6784,6784.0,603,813.7
2005-01-01,Орловская область,822,822.0,499,910.9
2005-01-01,Рязанская область,1189,1189.0,568,1004.9
2005-01-01,Смоленская область,1025,1025.0,643,1102.1
2005-01-01,Тамбовская область,1139,1139.0,537,867.3
2005-01-01,Тверская область,1415,1415.0,569,1192.3
2005-01-01,Тульская область,1615,1615.0,632,1128.8
2005-01-01,Ярославская область,1313,1313.0,540,1031.0
2005-01-01,г. Москва,10924,10924.0,552,485.4
2005-01-01,Северо-Западный  федеральный округ,13716,13716.0,608,977.3
2005-01-01,Республика Карелия,676,676.0,612,1191.9
2005-01-01,Республика Коми,963,963.0,599,1069.3
2005-01-01,Архангельская область,1282,1282.0,538,1051.6
2005-01-01,Ненецкий автономный округ,42,42.0,570,893.9
2005-01-01,Архангельская область  без автономного округа,1240,1240.0,537,1057.0
2005-01-01,Вологодская область,1235,1235.0,649,1045.7
2005-01-01,Калининградская область,936,936.0,559,1136.4
2005-01-01,Ленинградская область,1685,1685.0,664,1125.6
2005-01-01,Мурманская область,839,839.0,776,927.9
2005-01-01,Новгородская область,666,666.0,555,1191.8
2005-01-01,Псковская область,721,721.0,517,1327.2
2005-01-01,г. Санкт-Петербург,4713,4713.0,597,731.8
2005-01-01,Южный  федеральный округ,13837,13837.0,572,695.3
2005-01-01,Республика Адыгея,441,441.0,510,633.1
2005-01-01,Республика Калмыкия,294,294.0,457,615.0
2005-01-01,Краснодарский край,5127,5127.0,572,677.4
2005-01-01,Астраханская область,1003,1003.0,527,804.6
2005-01-01,Волгоградская область,2640,2640.0,574,722.5
2005-01-01,Ростовская область,4332,4332.0,596,686.0
2005-01-01,Северо-Кавказский  федеральный округ,9037,9037.0,301,423.2
2005-01-01,Республика Дагестан,2693,2693.0,171,245.9
2005-01-01,Республика Ингушетия ,417,417.0,99,212.5
2005-01-01,Кабардино-Балкарская  Республика,866,866.0,387,499.7
2005-01-01,Карачаево-Черкесская Республика,455,455.0,368,492.0
2005-01-01,Республика Северная Осетия –  Алания,707,707.0,345,534.4
2005-01-01,Чеченская Республика ,1152,1152.0,32,293.8
2005-01-01,Ставропольский край,2747,2747.0,539,612.5
2010-01-01,Российская Федерация,142865,142865.0,526,634.0
2010-01-01,Центральный  федеральный округ,38445,38445.0,545,599.3
2010-01-01,Белгородская область,1532,1532.0,510,502.9
2010-01-01,Брянская область,1275,1275.0,612,720.2
2010-01-01,Владимирская область,1441,1441.0,541,800.8
2010-01-01,Воронежская область,2335,2335.0,594,617.0
2010-01-01,Ивановская область,1060,1060.0,567,787.3
2010-01-01,Калужская область,1009,1009.0,566,716.8
2010-01-01,Костромская область,666,666.0,500,750.7
2010-01-01,Курская область,1126,1126.0,565,680.2
2010-01-01,Липецкая область,1172,1172.0,538,682.6
2010-01-01,Московская область,7106,7106.0,585,624.2
2010-01-01,Орловская область,786,786.0,553,692.8
2010-01-01,Рязанская область,1152,1152.0,575,745.5
2010-01-01,Смоленская область,983,983.0,601,840.9
2010-01-01,Тамбовская область,1090,1090.0,554,678.9
2010-01-01,Тверская область,1350,1350.0,548,879.0
2010-01-01,Тульская область,1550,1550.0,603,811.4
2010-01-01,Ярославская область,1271,1271.0,543,714.2
2010-01-01,г. Москва,11541,11541.0,489,389.3
2010-01-01,Северо-Западный  федеральный округ,13626,13626.0,550,682.5
2010-01-01,Республика Карелия,643,643.0,532,908.0
2010-01-01,Республика Коми,899,899.0,568,796.6
2010-01-01,Архангельская область,1225,1225.0,531,766.8
2010-01-01,Ненецкий автономный округ,42,42.0,643,908.1
2010-01-01,Архангельская область  без автономного округа,1183,1183.0,528,761.7
2010-01-01,Вологодская область,1201,1201.0,511,803.8
2010-01-01,Калининградская область,942,942.0,584,659.2
2010-01-01,Ленинградская область,1719,1719.0,731,744.4
2010-01-01,Мурманская область,794,794.0,677,689.6
2010-01-01,Новгородская область,633,633.0,519,959.9
2010-01-01,Псковская область,671,671.0,540,978.2
2010-01-01,г. Санкт-Петербург,4899,4899.0,501,488.8
2010-01-01,Южный  федеральный округ,13851,13851.0,550,561.4
2010-01-01,Республика Адыгея,440,440.0,492,564.8
2010-01-01,Республика Калмыкия,289,289.0,475,549.0
2010-01-01,Краснодарский край,5230,5230.0,520,522.5
2010-01-01,Астраханская область,1010,1010.0,576,614.0
2010-01-01,Волгоградская область,2607,2607.0,552,585.1
2010-01-01,Ростовская область,4275,4275.0,594,581.9
2010-01-01,Северо-Кавказский  федеральный округ,9439,9439.0,313,349.9
2010-01-01,Республика Дагестан,2914,2914.0,190,241.5
2010-01-01,Республика Ингушетия ,415,415.0,114,231.4
2010-01-01,Кабардино-Балкарская  Республика,860,860.0,333,401.7
2010-01-01,Карачаево-Черкесская Республика,477,477.0,407,396.2
2010-01-01,Республика Северная Осетия –  Алания,712,712.0,360,416.5
2010-01-01,Чеченская Республика ,1275,1275.0,93,270.3
2010-01-01,Ставропольский край,2786,2786.0,587,474.4
2011-01-01,Российская Федерация,143056,143056.0,509,600.9
2011-01-01,Центральный  федеральный округ,38538,38538.0,514,554.6
2011-01-01,Белгородская область,1536,1536.0,466,489.9
2011-01-01,Брянская область,1264,1264.0,558,687.0
2011-01-01,Владимирская область,1432,1432.0,527,754.6
2011-01-01,Воронежская область,2332,2332.0,554,592.2
2011-01-01,Ивановская область,1054,1054.0,569,704.0
2011-01-01,Калужская область,1008,1008.0,579,665.7
2011-01-01,Костромская область,662,662.0,481,674.5
2011-01-01,Курская область,1122,1122.0,549,666.6
2011-01-01,Липецкая область,1166,1166.0,514,633.2
2011-01-01,Московская область,7199,7199.0,553,575.6
2011-01-01,Орловская область,781,781.0,512,656.7
2011-01-01,Рязанская область,1148,1148.0,512,677.6
2011-01-01,Смоленская область,981,981.0,575,753.1
2011-01-01,Тамбовская область,1082,1082.0,535,625.8
2011-01-01,Тверская область,1342,1342.0,533,820.5
2011-01-01,Тульская область,1545,1545.0,552,731.6
2011-01-01,Ярославская область,1271,1271.0,524,639.2
2011-01-01,г. Москва,11613,11613.0,454,359.5
2011-01-01,Северо-Западный  федеральный округ,13660,13660.0,526,628.2
2011-01-01,Республика Карелия,640,640.0,532,789.4
2011-01-01,Республика Коми,890,890.0,510,741.2
2011-01-01,Архангельская область,1213,1213.0,529,714.0
2011-01-01,Ненецкий автономный округ,42,42.0,597,824.9
2011-01-01,Архангельская область  без автономного округа,1171,1171.0,527,709.9
2011-01-01,Вологодская область,1198,1198.0,469,723.7
2011-01-01,Калининградская область,947,947.0,597,598.7
2011-01-01,Ленинградская область,1734,1734.0,725,683.3
2011-01-01,Мурманская область,788,788.0,645,657.7
2011-01-01,Новгородская область,630,630.0,490,849.7
2011-01-01,Псковская область,667,667.0,525,865.5
2011-01-01,г. Санкт-Петербург,4953,4953.0,473,467.8
2011-01-01,Южный  федеральный округ,13884,13884.0,521,545.6
2011-01-01,Республика Адыгея,443,443.0,497,514.7
2011-01-01,Республика Калмыкия,287,287.0,540,526.1
2011-01-01,Краснодарский край,5284,5284.0,490,518.5
2011-01-01,Астраханская область,1015,1015.0,574,600.0
2011-01-01,Волгоградская область,2595,2595.0,552,561.7
2011-01-01,Ростовская область,4260,4260.0,532,560.0
2011-01-01,Северо-Кавказский  федеральный округ,9493,9493.0,318,338.0
2011-01-01,Республика Дагестан,2931,2931.0,195,237.2
2011-01-01,Республика Ингушетия ,430,430.0,132,204.5
2011-01-01,Кабардино-Балкарская  Республика,859,859.0,359,397.7
2011-01-01,Карачаево-Черкесская Республика,475,475.0,463,399.1
2011-01-01,Республика Северная Осетия –  Алания,709,709.0,357,442.1
2011-01-01,Чеченская Республика ,1302,1302.0,111,247.4
2011-01-01,Ставропольский край,2787,2787.0,528,450.1
2012-01-01,Российская Федерация,143347,143347.0,531,575.7
2012-01-01,Центральный  федеральный округ,38679,38679.0,540,538.5
2012-01-01,Белгородская область,1541,1541.0,558,475.2
2012-01-01,Брянская область,1254,1254.0,665,681.6
2012-01-01,Владимирская область,1422,1422.0,564,715.3
2012-01-01,Воронежская область,2330,2330.0,611,573.8
2012-01-01,Ивановская область,1049,1049.0,557,657.9
2012-01-01,Калужская область,1006,1006.0,616,648.6
2012-01-01,Костромская область,659,659.0,528,631.4
2012-01-01,Курская область,1119,1119.0,605,649.3
2012-01-01,Липецкая область,1162,1162.0,542,616.1
2012-01-01,Московская область,7048,7048.0,549,565.6
2012-01-01,Орловская область,776,776.0,631,632.7
2012-01-01,Рязанская область,1144,1144.0,582,629.9
2012-01-01,Смоленская область,975,975.0,617,693.4
2012-01-01,Тамбовская область,1076,1076.0,594,605.3
2012-01-01,Тверская область,1334,1334.0,577,747.8
2012-01-01,Тульская область,1532,1532.0,606,719.5
2012-01-01,Ярославская область,1272,1272.0,532,632.2
2012-01-01,г. Москва,11980,11980.0,457,364.3
2012-01-01,Северо-Западный  федеральный округ,13717,13717.0,535,595.3
2012-01-01,Республика Карелия,637,637.0,535,793.1
2012-01-01,Республика Коми,880,880.0,602,721.8
2012-01-01,Архангельская область,1202,1202.0,603,656.4
2012-01-01,Ненецкий автономный округ,43,43.0,599,833.2
2012-01-01,Архангельская область  без автономного округа,1159,1159.0,603,649.7
2012-01-01,Вологодская область,1196,1196.0,528,669.2
2012-01-01,Калининградская область,955,955.0,571,579.9
2012-01-01,Ленинградская область,1751,1751.0,736,651.4
2012-01-01,Мурманская область,780,780.0,661,602.4
2012-01-01,Новгородская область,626,626.0,531,783.8
2012-01-01,Псковская область,662,662.0,559,845.6
2012-01-01,г. Санкт-Петербург,5028,5028.0,450,445.6
2012-01-01,Южный  федеральный округ,13910,13910.0,535,510.5
2012-01-01,Республика Адыгея,445,445.0,522,451.5
2012-01-01,Республика Калмыкия,284,284.0,551,509.9
2012-01-01,Краснодарский край,5330,5330.0,539,490.4
2012-01-01,Астраханская область,1014,1014.0,571,563.4
2012-01-01,Волгоградская область,2583,2583.0,564,533.1
2012-01-01,Ростовская область,4254,4254.0,503,514.8
2012-01-01,Северо-Кавказский  федеральный округ,9541,9541.0,346,311.0
2012-01-01,Республика Дагестан,2946,2946.0,206,227.7
2012-01-01,Республика Ингушетия ,442,442.0,171,182.2
2012-01-01,Кабардино-Балкарская  Республика,859,859.0,386,355.3
2012-01-01,Карачаево-Черкесская Республика,472,472.0,491,367.4
2012-01-01,Республика Северная Осетия –  Алания,706,706.0,399,381.7
2012-01-01,Чеченская Республика ,1325,1325.0,134,232.3
2012-01-01,Ставропольский край,2791,2791.0,561,414.8
2013-01-01,Российская Федерация,143667,143667.0,545,560.9
2013-01-01,Центральный  федеральный округ,38820,38820.0,553,521.9
2013-01-01,Белгородская область,1544,1544.0,573,478.0
2013-01-01,Брянская область,1242,1242.0,588,652.0
2013-01-01,Владимирская область,1413,1413.0,608,679.5
2013-01-01,Воронежская область,2329,2329.0,621,576.3
2013-01-01,Ивановская область,1043,1043.0,585,634.3
2013-01-01,Калужская область,1005,1005.0,528,631.1
2013-01-01,Костромская область,656,656.0,577,608.6
2013-01-01,Курская область,1119,1119.0,504,630.9
2013-01-01,Липецкая область,1160,1160.0,604,593.4
2013-01-01,Московская область,7134,7134.0,576,551.7
2013-01-01,Орловская область,770,770.0,527,607.8
2013-01-01,Рязанская область,1141,1141.0,605,582.1
2013-01-01,Смоленская область,968,968.0,636,685.3
2013-01-01,Тамбовская область,1069,1069.0,628,604.6
2013-01-01,Тверская область,1325,1325.0,583,736.3
2013-01-01,Тульская область,1522,1522.0,653,682.1
2013-01-01,Ярославская область,1272,1272.0,584,601.6
2013-01-01,г. Москва,12108,12108.0,473,352.6
2013-01-01,Северо-Западный  федеральный округ,13801,13801.0,570,563.9
2013-01-01,Республика Карелия,634,634.0,617,722.9
2013-01-01,Республика Коми,872,872.0,612,682.4
2013-01-01,Архангельская область,1192,1192.0,640,627.2
2013-01-01,Ненецкий автономный округ,43,43.0,725,739.2
2013-01-01,Архангельская область  без автономного округа,1149,1149.0,637,622.9
2013-01-01,Вологодская область,1193,1193.0,533,659.5
2013-01-01,Калининградская область,963,963.0,640,565.3
2013-01-01,Ленинградская область,1764,1764.0,800,628.1
2013-01-01,Мурманская область,771,771.0,681,570.3
2013-01-01,Новгородская область,623,623.0,506,804.5
2013-01-01,Псковская область,657,657.0,604,766.6
2013-01-01,г. Санкт-Петербург,5132,5132.0,486,413.5
2013-01-01,Южный  федеральный округ,13964,13964.0,562,493.4
2013-01-01,Республика Адыгея,446,446.0,576,488.6
2013-01-01,Республика Калмыкия,282,282.0,643,505.5
2013-01-01,Краснодарский край,5404,5404.0,556,473.5
2013-01-01,Астраханская область,1017,1017.0,612,508.7
2013-01-01,Волгоградская область,2569,2569.0,622,514.6
2013-01-01,Ростовская область,4246,4246.0,518,501.6
2013-01-01,Северо-Кавказский  федеральный округ,9590,9590.0,357,299.5
2013-01-01,Республика Дагестан,2964,2964.0,230,211.5
2013-01-01,Республика Ингушетия ,453,453.0,176,166.7
2013-01-01,Кабардино-Балкарская  Республика,859,859.0,343,370.1
2013-01-01,Карачаево-Черкесская Республика,470,470.0,433,352.7
2013-01-01,Республика Северная Осетия –  Алания,704,704.0,386,388.5
2013-01-01,Чеченская Республика ,1346,1346.0,152,219.7
2013-01-01,Ставропольский край,2794,2794.0,581,399.9
2014-01-01,Российская Федерация,146267,146267.0,566,565.6
2014-01-01,Центральный  федеральный округ,38951,38951.0,554,528.2
2014-01-01,Белгородская область,1548,1548.0,580,494.5
2014-01-01,Брянская область,1233,1233.0,696,693.3
2014-01-01,Владимирская область,1406,1406.0,589,690.4
2014-01-01,Воронежская область,2331,2331.0,600,597.7
2014-01-01,Ивановская область,1037,1037.0,608,642.3
2014-01-01,Калужская область,1011,1011.0,600,652.9
2014-01-01,Костромская область,654,654.0,614,623.1
2014-01-01,Курская область,1117,1117.0,619,637.4
2014-01-01,Липецкая область,1158,1158.0,626,613.9
2014-01-01,Московская область,7231,7231.0,552,552.2
2014-01-01,Орловская область,765,765.0,646,656.1
2014-01-01,Рязанская область,1135,1135.0,595,602.0
2014-01-01,Смоленская область,965,965.0,666,689.7
2014-01-01,Тамбовская область,1062,1062.0,637,594.2
2014-01-01,Тверская область,1315,1315.0,628,748.9
2014-01-01,Тульская область,1514,1514.0,645,674.7
2014-01-01,Ярославская область,1272,1272.0,607,611.1
2014-01-01,г. Москва,12197,12197.0,452,351.9
2014-01-01,Северо-Западный  федеральный округ,13844,13844.0,560,565.2
2014-01-01,Республика Карелия,633,633.0,617,722.7
2014-01-01,Республика Коми,864,864.0,639,700.1
2014-01-01,Архангельская область,1183,1183.0,633,633.6
2014-01-01,Ненецкий автономный округ,43,43.0,723,570.6
2014-01-01,Архангельская область  без автономного округа,1140,1140.0,630,636.0
2014-01-01,Вологодская область,1191,1191.0,573,648.8
2014-01-01,Калининградская область,969,969.0,608,594.7
2014-01-01,Ленинградская область,1776,1776.0,752,632.8
2014-01-01,Мурманская область,766,766.0,698,617.6
2014-01-01,Новгородская область,619,619.0,574,762.6
2014-01-01,Псковская область,651,651.0,611,766.9
2014-01-01,г. Санкт-Петербург,5192,5192.0,463,409.2
2014-01-01,Южный  федеральный округ,16299,16299.0,545,510.2
2014-01-01,Республика Адыгея,449,449.0,609,463.8
2014-01-01,Республика Калмыкия,281,281.0,685,452.4
2014-01-01,Республика Крым,1896,1896.0,308,558.2
2014-01-01,Краснодарский край,5454,5454.0,558,480.7
2014-01-01,Астраханская область,1021,1021.0,619,544.1
2014-01-01,Волгоградская область,2557,2557.0,622,525.9
2014-01-01,Ростовская область,4242,4242.0,601,519.0
2014-01-01,г. Севастополь,399,399.0,252,498.9
2014-01-01,Северо-Кавказский  федеральный округ,9659,9659.0,383,302.8
2014-01-01,Республика Дагестан,2990,2990.0,251,207.7
2014-01-01,Республика Ингушетия ,464,464.0,183,164.2
2014-01-01,Кабардино-Балкарская  Республика,861,861.0,376,352.2
2014-01-01,Карачаево-Черкесская Республика,469,469.0,563,374.4
2014-01-01,Республика Северная Осетия –  Алания,706,706.0,456,396.4
2014-01-01,Чеченская Республика ,1370,1370.0,142,231.8
2014-01-01,Ставропольский край,2799,2799.0,601,412.9
2015-01-01,Российская Федерация,146545,146545.0,527,546.7
2015-01-01,Центральный  федеральный округ,39104,39104.0,516,496.8
2015-01-01,Белгородская область,1550,1550.0,527,465.9
2015-01-01,Брянская область,1226,1226.0,604,634.4
2015-01-01,Владимирская область,1397,1397.0,547,654.0
2015-01-01,Воронежская область,2333,2333.0,532,561.5
2015-01-01,Ивановская область,1030,1030.0,558,614.0
2015-01-01,Калужская область,1010,1010.0,540,600.4
2015-01-01,Костромская область,651,651.0,554,592.4
2015-01-01,Курская область,1120,1120.0,559,614.7
2015-01-01,Липецкая область,1156,1156.0,565,566.2
2015-01-01,Московская область,7319,7319.0,531,495.3
2015-01-01,Орловская область,760,760.0,597,625.3
2015-01-01,Рязанская область,1130,1130.0,571,560.5
2015-01-01,Смоленская область,959,959.0,615,661.5
2015-01-01,Тамбовская область,1050,1050.0,590,564.4
2015-01-01,Тверская область,1305,1305.0,584,723.3
2015-01-01,Тульская область,1506,1506.0,563,660.0
2015-01-01,Ярославская область,1272,1272.0,544,585.1
2015-01-01,г. Москва,12330,12330.0,437,340.7
2015-01-01,Северо-Западный  федеральный округ,13854,13854.0,520,558.2
2015-01-01,Республика Карелия,630,630.0,552,749.7
2015-01-01,Республика Коми,857,857.0,587,701.1
2015-01-01,Архангельская область,1174,1174.0,568,640.3
2015-01-01,Ненецкий автономный округ,44,44.0,565,590.0
